Price,Close,High,Low,Open,Volume,RSI,EMA50,MACD,Signal_Line,Upper_BB,Lower_BB,%K,%D,Signal,Buy_Signal,Sell_Signal,Position,Daily_Return,Strategy_Return,Cumulative_Return
Ticker,HSBC,HSBC,HSBC,HSBC,HSBC,,,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,,,
2023-01-03,25.96190071105957,26.175308877552844,25.86340559763289,26.011149833324513,2033300,,25.96190071105957,0.0,0.0,,,,,Hold,False,False,,,,
2023-01-04,26.823741912841797,26.8976140316481,26.65958130092743,26.774492789936513,2680100,,25.99569840524711,0.06875086509943529,0.013750173019887058,,,,,Hold,False,False,,0.033196383091284476,,
2023-01-05,27.710208892822266,27.833330155351934,27.381890744582776,27.422930121724743,4549400,,26.062934110642217,0.19254733199801066,0.04950960481551178,,,,,Hold,False,False,,0.03304784928444593,,
2023-01-06,28.16164779663086,28.18627079351436,27.636333191323686,27.726621688034346,2431800,,26.14523660813197,0.3233568145500243,0.10427904676241428,,,,,Hold,False,False,,0.016291429110284694,,
2023-01-09,28.038530349731445,28.227313990663053,28.038530349731445,28.104195858457462,1903800,,26.21948342152803,0.41233656363954196,0.16589055013783982,,,,,Hold,False,False,,-0.0043718126080016795,,
2023-01-10,28.227310180664062,28.243726555629756,28.046733187144802,28.186270808801513,1531600,,26.298221725807874,0.49241040982521866,0.2311945220753156,,,,,Hold,False,False,,0.006732871822378694,,
2023-01-11,28.39967918395996,28.457134934354567,28.34222343356535,28.383265939078843,1409800,,26.380631822205995,0.5632850484407363,0.29761262734839977,,,,,Hold,False,False,,0.006106462223735898,,
2023-01-12,29.072734832763672,29.22868883847067,28.900367582238246,29.17123308829553,2882600,,26.486204489286692,0.6660854575347734,0.3713071933856745,,,,,Hold,False,False,,0.023699410280094035,,
2023-01-13,29.671924591064453,29.712963969461416,29.277937791362785,29.310770546521905,3153400,,26.611134689356412,0.7868349843243543,0.4544127515734105,,,,,Hold,False,False,,0.020610023850440085,,
2023-01-17,29.79503631591797,30.000236294858315,29.630875706545048,29.959196925290886,2010900,,26.735993576672552,0.8822934123179031,0.539988883722309,,,,,Hold,False,False,,0.004149098063244372,,
2023-01-18,29.696544647216797,30.082321654323678,29.696544647216797,30.000239774565003,2902300,,26.85209361865468,0.9391712679456035,0.6198253605669679,,,,,Hold,False,False,,-0.00330564016290702,,
2023-01-19,29.86890983581543,29.89353283249121,29.450303236810495,29.450303236810495,2288600,,26.97040013697471,0.9867808135484424,0.6932164511632628,,,,,Hold,False,False,,0.0058042169769669805,,
2023-01-20,30.2382755279541,30.246482151192048,29.88533123774904,29.934580370488302,1985200,,27.09855211309155,1.0423014436523417,0.7630334496610787,,,,,Hold,False,False,,0.01236622609157867,,
2023-01-23,30.221853256225586,30.221853256225586,30.03306964753255,30.04948602191063,2103000,94.97401568080366,27.221034510861514,1.0726123949217623,0.8249492387132155,,,99.43809115205934,,Hold,False,False,,-0.00054309551195586,,
2023-01-24,30.115148544311523,30.197230416627093,29.885325564034467,29.97561405802996,1779200,92.88135392953076,27.334529178839947,1.0756247313485687,0.8750843372402862,,,96.33852140432498,,Hold,False,False,,-0.0035307137192879257,,
2023-01-25,30.435264587402344,30.48451058201472,30.156192470553012,30.1643990926206,2121000,91.98473587114627,27.456126645842396,1.0912633148201358,0.9183201327562562,,,98.41276091842633,98.06312449160355,Hold,False,False,,0.010629734819995962,,
2023-01-26,30.76358413696289,30.780000512968904,30.410639880592562,30.525551381531077,1537300,90.78946966106618,27.585830861180455,1.1172704503845097,0.958110196281907,,,99.47779537952438,98.0763592340919,Hold,False,False,,0.010787471507523572,,
2023-01-27,30.492721557617188,30.656879054377285,30.402433055737003,30.55017730770393,1817500,82.71892682592511,27.699826574766213,1.1033067132249244,0.9871494996705106,,,89.52098916836422,95.80384848877164,Hold,False,False,,-0.00880464961884131,,
2023-01-30,30.418848037719727,30.632254652390838,30.418848037719727,30.47630378517362,1641500,83.87844099209593,27.806454867431057,1.0739001231140577,1.00449962435922,,,86.78678547696438,91.92852334161766,Hold,False,False,,-0.0024226607571867786,,
2023-01-31,30.320348739624023,30.3285584924644,30.065902761431744,30.180814252370617,1833400,80.5754233061485,27.90503894085039,1.030765099981224,1.0097527194836209,31.935612985941102,26.507808377889464,81.14463470723324,85.81746978418728,Hold,False,False,,-0.003238100863437121,,
2023-02-01,30.320348739624023,30.49271910713563,30.082319136009197,30.139774881478633,3349700,79.54532918186011,27.999756972174843,0.9852232431109833,1.0048468242090933,31.716096324745322,27.163169841941688,75.54566288822132,81.15902769080633,Hold,False,False,,0.0,,
2023-02-02,29.737581253051758,29.983820607196417,29.606253388767723,29.983820607196417,2479500,60.51942392459667,28.067906943973938,0.8918261113851038,0.9822426816442955,31.50130860900233,27.66934149170568,30.60081680194336,62.43037146579931,Hold,False,False,,-0.01922034246956661,,
