Date,Close,High,Low,Open,Volume,RSI,EMA,Ticker
2024-10-21,124.23429107666016,125.97239026703146,123.97457265292718,125.76262033207884,897000,,,JBL
2024-10-22,123.8846664428711,124.86360042346155,121.87686523523178,122.25644783693413,1547800,,,JBL
2024-10-23,122.80584716796875,124.51398025772691,120.98783350333703,123.84471320791103,1552900,,,JBL
2024-10-24,124.89356231689453,125.23319526171346,123.97456807738065,124.17434678299007,1044800,,,JBL
2024-10-25,124.58390808105469,126.47184512345848,124.24427512248464,125.50290235777697,680200,,,JBL
2024-10-28,124.6538314819336,125.7825956951654,124.43407032406718,125.11332862062272,742300,,,JBL
2024-10-29,124.70377349853516,125.43298029080248,123.20541026771993,124.19433548722802,1127500,,,JBL
2024-10-30,123.84471893310547,125.40301425452247,122.42626261581951,123.45513748168173,1192900,,,JBL
2024-10-31,122.95568084716797,123.83472547089208,121.01780295255756,123.41518560287976,2040000,,,JBL
2024-11-01,127.53068542480469,128.13003680522183,124.15437640432566,124.15437640432566,1374600,,,JBL
2024-11-04,127.16109466552734,129.81819576041588,126.9113674628229,129.24881042202313,1161300,,,JBL
2024-11-05,128.51962280273438,128.81929852132708,126.58173709692709,126.92136246500006,796100,,,JBL
2024-11-06,137.6196746826172,139.05810584602622,132.36540444726816,132.8548752643596,2006400,,,JBL
2024-11-07,137.1501922607422,138.63855673684583,136.31111245972727,137.67961274772588,1192600,83.86587266548942,,JBL
2024-11-08,135.6018829345703,137.24009291798006,135.37213815577692,136.6007918327992,936600,76.29206966045224,,JBL
2024-11-11,135.37213134765625,136.48092077861278,134.21339342587223,136.23119356661482,1239700,75.2067170896536,,JBL
2024-11-12,132.7649688720703,135.56191648899605,132.75497002935717,134.632923402833,823900,64.0681814260054,,JBL
2024-11-13,131.5862579345703,133.37431330340482,131.54630828729628,132.85487643600638,1061900,59.75896380732207,,JBL
2024-11-14,128.89918518066406,131.57626869753798,128.44967926792285,129.8581443376989,1139700,51.289744799772286,,JBL
2024-11-15,128.1995086669922,129.07909855029834,126.80017499045348,127.55981871900063,1074000,49.329329550518075,129.2354072445918,JBL
2024-11-18,128.22950744628906,129.2990102861752,127.38990714773605,129.03913836088827,795100,49.41859828221685,129.13960726380108,JBL
2024-11-19,127.48986053466797,127.86967861136496,126.00055761052542,126.45035000151098,1311800,47.21016744231137,128.98248852769316,JBL
2024-11-20,128.1195526123047,128.78925011199712,126.76020090195769,127.48986004410152,1093400,49.28791744109627,128.90030415479902,JBL
2024-11-21,130.57839965820312,131.72785130640582,128.4793837553352,128.91917872558136,948600,56.48945880477334,129.06012277417085,JBL
2024-11-22,131.05816650390625,131.4479819923776,129.41894044320702,129.93869951170012,1569000,57.75018908950336,129.25041265319328,JBL
2024-11-25,133.9368133544922,137.0553372625345,132.53747961411267,132.84733099579714,1369900,64.41305724957536,129.69673652950746,JBL
2024-11-26,132.6574249267578,134.41658961191965,132.38754795889727,133.61696375444802,865500,59.89234872023765,129.97870685305512,JBL
2024-11-27,133.2671356201172,133.34709972963947,131.30805306580766,132.08768406915675,1882800,61.28678263681593,130.29189054515626,JBL
2024-11-29,135.76596069335938,135.86590439439627,133.38707793539677,133.8768524007405,678900,66.43702722404231,130.81323055927083,JBL
2024-12-02,135.12625122070312,137.21526198410305,135.00631268932125,136.3756617612428,1058100,64.08649234306844,131.22399443178819,JBL
2024-12-03,135.4361114501953,135.82592695426862,134.29664957278143,134.6764752824509,906100,64.73728110372893,131.62514843354126,JBL
2024-12-04,136.37567138671875,137.17529723942093,135.2661941383482,136.31570211679514,704600,66.70731790140785,132.07757919098674,JBL
2024-12-05,135.71597290039062,137.52511697035902,135.44609594609884,137.42517327544667,730000,64.0035566932205,132.42409287759662,JBL
2024-12-06,135.57603454589844,136.52558349645093,134.60649075646043,135.82591665139086,824700,63.41637537726971,132.72427779838728,JBL
2024-12-09,134.20669555664062,136.39566540522796,134.12673144669287,135.89590115675028,963200,57.82589206736114,132.86546044203047,JBL
2024-12-10,132.68740844726562,134.68646544835437,131.85779796162245,134.68646544835437,888800,52.315392303827636,132.84850310919572,JBL
2024-12-11,133.62696838378906,134.18670190679504,132.1876448951482,134.0167838909964,673300,55.161116195265286,132.922642659157,JBL
2024-12-12,133.5769805908203,134.1067294457936,132.7573751979082,133.15718047470529,905300,54.973145870232436,132.98496055741063,JBL
2024-12-13,135.0662841796875,135.35614071916578,133.3370889819517,134.5765097491552,763000,59.41095884645135,133.18318185477034,JBL
2024-12-16,134.9263458251953,136.42563844318133,133.09720700106118,135.13623825082115,1509500,58.82429097938419,133.34919747100128,JBL
2024-12-17,133.89683532714844,135.44609219392004,132.88730185082096,134.80639460814527,1823900,54.55606433058457,133.401353457301,JBL
2024-12-18,143.62225341796875,150.00923995904694,140.93351929749892,148.10013685286123,4765100,73.85521076115216,134.37477250117414,JBL
2024-12-19,140.373779296875,145.5613344420991,137.71502993413836,145.20150358660396,2413600,64.06799598549645,134.94610648171707,JBL
2024-12-20,144.93162536621094,145.68127170431202,139.91398827274136,139.91398827274136,6861200,70.06255955042639,135.8971082802403,JBL
2024-12-23,145.60130310058594,146.42092372569093,143.99206173443963,145.09154909699672,1246500,70.8325157002664,136.8213173107494,JBL
2024-12-24,147.70033264160156,148.03017888109443,144.09203409948208,145.43139864656598,537200,73.16239022923125,137.85741400892582,JBL
2024-12-26,147.5703887939453,148.56991730521602,146.63082955309568,147.0406399030994,888200,72.77483229810487,138.78245922654673,JBL
2024-12-27,145.8511962890625,147.5703865221089,145.44138594536778,146.68080677083677,637800,67.66762869991308,139.45567228011967,JBL
